"Primary_Key","School Number","School Year","School Name","Official School Name","LEA Number","LEA Name","Name Prefix Description","Principal First Name","Principal Middle Name","Principal Last Name","Principal Name Suffix","Principal Email","Address Line1","Address Line2","City","State","Zip Code 5","Zip Code 4","Phone Office Area","Phone Office Exch","Phone Office Line","Phone Fax Area","Phone Fax Exch","Phone Fax Line ","Mailing Address Line1","Mailing Address Line2","Mailing City","Mailing State","Mailing Zip Code 5","Mailing Zip Code 4","URL School Address","Sch Operational Status","Sch Operational Status Desc","Opening Effective Date","Closing Date","School Type","School Type Desc","School Program Type","School Program Type Desc","Grade Level Current","Grade Level Approved","Grade Level First Year","Title I","School Calendar Type","School Calendar Description","Extended Hours","School Schedule Type","School Schedule Type Desc","School Designation Type","School Designation Desc","Virtual Status","SBE Region","SBE Region Names","Accreditation Status","Accreditation Status Desc","Federal School Number","College Board Number","School Membership","School Year For Sch Membership","School Teacher Count","School Year For Teachers","Cooperative Innovative HS","Cooperative MMYYYY SBE Approve","First Yr Est ADM","First Yr Est Paid Teacher FTE","Newly Constructed Facility","Occupancy Date","What Facility Will Sch Occupy","Share Space","Share Space Describe","New Sch Population From","List Of Closing Schools","County Code","County Description","Opening In School Year","Locale Type","Locale Type Desc","School Closings?","School Systartstatus","Record Created Timestamp","Record Created By","Last Changed Timestamp","Last Changed By"
"0103262024","010326","2024","Eastlawn Elementary","Eastlawn Elementary","010","Alamance-Burlington Schools","Mrs","Syeda","-","Smith-Williams","-","syeda_smithwilliams@abss.k12.nc.us","502 N Graham Hopedale Road","-","Burlington","NC","27217","2945","336","570","6180","336","570","6204","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/eastlawnes","1","Open","30-JUN-96","-","R","Regular School","N","None","P3:PK:KG:01:02:03:04:05","P3:PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000197","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:25PM","carla_bopp"
"0103282024","010328","2024","Edwin M Holt Elementary","Edwin M Holt Elementary","010","Alamance-Burlington Schools","Dr","Leslie","-","Hersinger","-","leslie_hersinger@abss.k12.nc.us","4751 S NC 62","-","Burlington","NC","27215","-","336","570","6420","336","570","6429","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/emhes","1","Open","30-JUN-90","-","R","Regular School","N","None","KG:01:02:03:04:05","KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:26PM","carla_bopp"
"0103402024","010340","2024","Elon Elementary","Elon Elementary","010","Alamance-Burlington Schools","Mr","Jack","-","Davern","-","john_davern@abss.k12.nc.us","720 Walker Road","-","Elon","NC","27244","9304","336","538","6000","336","538","6003","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/elones","1","Open","30-JUN-90","-","R","Regular School","N","None","KG:01:02:03:04:05","KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000008","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:25PM","carla_bopp"
"0103462024","010346","2024","B. Everett Jordan Elementary","B. Everett Jordan Elementary","010","Alamance-Burlington Schools","-","Donna","-","King","-","donna_king@abss.k12.nc.us","5827 Church Road","-","Graham","NC","27253","9145","336","376","3673","336","376","6243","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/bejes","1","Open","30-JUN-96","-","R","Regular School","N","None","KG:01:02:03:04:05","KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:25PM","carla_bopp"
"0103472024","010347","2024","Audrey W. Garrett Elementary","Audrey W.Garrett Elementary","010","Alamance-Burlington Schools","-","Steven","-","Fine","-","steven_fine@abss.k12.nc.us","3224 Old Hillsborough Road","-","Mebane","NC","27302","-","919","563","2088","919","304","5384","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/awges","1","Open","30-JUN-00","-","R","Regular School","N","None","P3:PK:KG:01:02:03:04:05","P3:PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003002501","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 12:00AM","EDDIE","07-03-2023 03:26PM","carla_bopp"
"0103482024","010348","2024","Graham High","Graham High","010","Alamance-Burlington Schools","-","Joshua","-","Brown","-"," joshua_brown@abss.k12.nc.us","903 Trollinger Road","-","Graham","NC","27253","1945","336","570","6440","336","570","6446","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/ghs","1","Open","30-JUN-90","-","R","Regular School","N","None","09:10:11:12:XG","09:10:11:12:XG","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000009","341560","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:33PM","carla_bopp"
"0103502024","010350","2024","Graham Middle","Graham Middle","010","Alamance-Burlington Schools","-","Summer","-","Rogers","-","summer_rogers@abss.k12.nc.us","311 E Pine Street","-","Graham","NC","27253","3226","336","570","6460","336","570","6464","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/gms","1","Open","30-JUN-90","-","R","Regular School","N","None","06:07:08","06:07:08","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","SA","SACS","370003000010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","12-08-2022 10:34AM","carla_bopp"
"0103512024","010351","2024","Grove Park Elementary","Grove Park Elementary","010","Alamance-Burlington Schools","Ms","Traci","-","Horton","-","traci_horton@abss.k12.nc.us","141 Trail One","-","Burlington","NC","27215","5531","336","570","6115","336","570","6205","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/gpes","1","Open","30-JUN-96","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000199","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:27PM","carla_bopp"
"0103532024","010353","2024","Hawfields Middle","Hawfields Middle","010","Alamance-Burlington Schools","-","Lauren","-","Acome","-","lauren_acome@abss.k12.nc.us","1951 S NC 119","-","Mebane","NC","27302","-","919","563","5303","919","563","1351","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/hms","1","Open","30-JUN-01","-","R","Regular School","N","None","06:07:08","06:07:08","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003002566","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:31PM","carla_bopp"
"0103542024","010354","2024","Harvey R Newlin Elementary","Harvey R Newlin Elementary","010","Alamance-Burlington Schools","-","William","-","Price","-","william_price@abss.k12.nc.us","316 Carden Street","-","Burlington","NC","27215","7305","336","570","6125","336","570","6207","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/hrnes","1","Open","30-JUN-96","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:28PM","carla_bopp"
"0103572024","010357","2024","Haw River Elementary","Haw River Elementary","010","Alamance-Burlington Schools","-","LaTasha","-","Fonville","-","latasha_fonville@abss.k12.nc.us","701 E Main Street","-","Haw River","NC","27258","9644","336","578","0177","336","578","8336","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/hres","1","Open","30-JUN-96","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000011","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:27PM","carla_bopp"
"0103582024","010358","2024","Hillcrest Elementary","Hillcrest Elementary","010","Alamance-Burlington Schools","Dr","Jennifer ","-","Reed","-","jennifer_reed@abss.k12.nc.us","1714 W Davis Street","-","Burlington","NC","27215","3841","336","570","6120","336","570","6206","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/hillcrestes","1","Open","30-JUN-96","-","R","Regular School","N","None","P3:PK:KG:01:02:03:04:05","P3:PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000201","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:28PM","carla_bopp"
"0103602024","010360","2024","Hugh M Cummings High","Hugh M Cummings High","010","Alamance-Burlington Schools","-","Clifton","-","Thomas","-","clifton_thomas@abss.k12.nc.us","2200 N Mebane Street","-","Burlington","NC","27217","4332","336","570","6100","336","570","6107","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/hchs","1","Open","30-JUN-96","-","R","Regular School","N","None","09:10:11:12:XG","09:10:11:12:XG","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000202","340508","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:32PM","carla_bopp"
"0103622024","010362","2024","Marvin B Smith Elementary","Marvin B Smith Elementary","010","Alamance-Burlington Schools","-","Brian","-","Williams","-","brian_williams@abss.k12.nc.us","2235 Delaney Drive","-","Burlington","NC","27215","5120","336","570","6140","336","570","6209","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/mbses","1","Open","30-JUN-96","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000203","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:29PM","carla_bopp"
"0103642024","010364","2024","North Graham Elementary","North Graham Elementary","010","Alamance-Burlington Schools","-","Rickeya","-","Jones","-","rickeya_jones@abss.k12.nc.us","1025 Trollinger Road","-","Graham","NC","27253","1947","336","578","2272","336","578","8335","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/nges","1","Open","30-JUN-90","-","R","Regular School","N","None","P2:P3:PK:KG:01:02:03:04:05","P2:P3:PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000012","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:28PM","carla_bopp"
"0103722024","010372","2024","Pleasant Grove Elementary","Pleasant Grove Elementary","010","Alamance-Burlington Schools","-","Shanise","-","Goldsby","-","shanise_goldsby@abss.k12.nc.us","2847 Pleasant Grv Sch Road","-","Burlington","NC","27217","7750","336","421","3701","336","421","9844","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/pges","1","Open","30-JUN-90","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000013","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:29PM","carla_bopp"
"0103742024","010374","2024","R Homer Andrews Elementary","R Homer Andrews Elementary","010","Alamance-Burlington Schools","Ms","Sabre","-","Robinson","-","sabre_robinson@abss.k12.nc.us","2630 Buckingham Road","-","Burlington","NC","27217","3252","336","570","6170","336","570","6201","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/rhaes","1","Open","30-JUN-96","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000204","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:24PM","carla_bopp"
"0103782024","010378","2024","Ray Street Academy","Ray Street Academy","010","Alamance-Burlington Schools","-","Michael","-","Bayless","-","michael_bayless@abss.k12.nc.us","609 Ray Street","-","Graham","NC","27253","-","336","570","6644","336","570","6353","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/rsa","1","Open","30-JUN-96","-","A","Alternative Education","N","None","06:07:08:09:10:11:12:XG","KG:01:02:03:04:05:06:07:08:09:10:11:12:XG","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003002153","340517","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:34PM","carla_bopp"
"0103802024","010380","2024","South Graham Elementary","South Graham Elementary","010","Alamance-Burlington Schools","Ms","Elizabeth","-","Stamper","-","elizabeth_stamper@abss.k12.nc.us","320 Ivey Road","-","Graham","NC","27253","3723","336","570","6520","336","570","6521","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/sges","1","Open","30-JUN-90","-","R","Regular School","N","None","P2:P3:PK:KG:01:02:03:04:05","P2:P3:PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000014","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:29PM","carla_bopp"
"0103842024","010384","2024","South Mebane Elementary","South Mebane Elementary","010","Alamance-Burlington Schools","-","Erica","-","Phillips","-","erica_phillips@abss.k12.nc.us","600 S 3rd Street","-","Mebane","NC","27302","3120","919","563","6905","919","563","4616","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/smes","1","Open","30-JUN-90","-","R","Regular School","N","None","KG:01:02:03:04:05","KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000015","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:29PM","carla_bopp"
"0103882024","010388","2024","Southern Alamance High","Southern Alamance High","010","Alamance-Burlington Schools","-","Kristy","-","Mills","-","kristy_mills@abss.k12.nc.us","631 Southern High Road","-","Graham","NC","27253","9425","336","570","6400","336","570","6404","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/sahs","1","Open","30-JUN-90","-","R","Regular School","N","None","09:10:11:12:XG","09:10:11:12:XG","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000016","340505","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:34PM","carla_bopp"
"0103902024","010390","2024","Southern Alamance Middle","Southern Alamance Middle","010","Alamance-Burlington Schools","-","Elizabeth","-","Fogleman","-","elizabethr_fogleman@abss.k12.nc.us","771 Southern High Road","-","Graham","NC","27253","9426","336","570","6500","336","570","6504","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/sams","1","Open","30-JUN-90","-","R","Regular School","N","None","06:07:08","06:07:08","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000017","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:31PM","carla_bopp"
"0103922024","010392","2024","Sylvan Elementary","Sylvan Elementary","010","Alamance-Burlington Schools","Dr","Nancy","-","Mark","-","nancy_mark@abss.k12.nc.us","7718 Sylvan Road","-","Snow Camp","NC","27349","9504","336","376","3350","336","376","3318","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/ses","1","Open","30-JUN-90","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000018","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:30PM","carla_bopp"
"0103942024","010394","2024","Turrentine Middle","Turrentine Middle","010","Alamance-Burlington Schools","-","Julie","-","Hancock","-","julie_hancock@abss.k12.nc.us","1710 Edgewood Avenue","-","Burlington","NC","27215","4938","336","570","6150","336","570","6210","-","-","-","-","-","-","http://tum.abss.k12.nc.us/","1","Open","30-JUN-96","-","R","Regular School","N","None","06:07:08","06:07:08","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000206","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:32PM","carla_bopp"
